joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint1_deg,joint2_deg,joint3_deg,joint4_deg,joint5_deg,joint6_deg
-0.7186650399482075,-1.256379027006099,-1.8931556099773137,-1.562870826107459,1.5707888647829906,0.8521311895160277,-41.176473672632994,-71.98521571620235,-108.46982641321503,-89.5459022600818,89.99957245821112,48.82352075073089
-0.723612373027898,-1.254428836323473,-1.8944188776369013,-1.5635561100384658,1.570789927445682,0.8471837900856747,-41.45993497794473,-71.87347802084214,-108.54220631850478,-89.58516613709662,89.99963334429837,48.540055643806234
-0.728594063110459,-1.252517026948891,-1.8956528722981179,-1.5642325216548243,1.5707907258190748,0.8422020449529313,-41.74536479451765,-71.76393941244505,-108.61290900453416,-89.62392166792758,89.99967908772426,48.254622673090196
-0.7336107622164696,-1.2506441656292284,-1.8968571538559296,-1.564899977680658,1.5707912769276748,0.837185291437477,-42.03280048037911,-71.65663236321508,-108.68190925514222,-89.66216408121844,89.99971066392109,47.967183869797246
-0.7386625516044468,-1.2488104132441642,-1.8980314859869047,-1.5655585782333081,1.5707915888534705,0.8321334245323462,-42.32224669129918,-71.55156609087885,-108.74919352999369,-89.69989911327026,89.9997285359527,47.677733217471435
-0.7437493850915784,-1.2470155356119548,-1.8991758187483234,-1.566208638890198,1.5707916361415,0.8270464590384543,-42.613700781197636,-71.44872717781082,-108.81475896758154,-89.73714484533755,89.99973124535721,47.386271564142746
-0.7488714141327532,-1.2452589421429834,-1.9002903075915227,-1.5668506372366076,1.5707913587016082,0.8219242054151775,-42.907171427800385,-71.3480817857185,-108.87861447461127,-89.7739286410412,89.99971534922236,47.0927880499334
-0.7540291473483502,-1.2435398525298156,-1.901375444882287,-1.5674848856128225,1.570790684332705,0.816766122553179,-43.20268777290854,-71.24958520627922,-108.94078826156434,-89.81026839616135,89.99967671073037,46.79725167156212
-0.7592234269821546,-1.2418577537163038,-1.9024321692872743,-1.5681109132894995,1.5707895767959985,0.8115713697643515,-43.500298073536285,-71.15320804354103,-109.00133411007857,-89.84613713989332,89.99961325355143,46.49961426114849
-0.7644551581124985,-1.2402130055176384,-1.9034616950030308,-1.5687270010039327,1.5707880902933977,0.8063391025041837,-43.8000541868522,-71.05897091339575,-109.0603215884916,-89.8814363657402,89.99952808322617,46.1998274298564
-0.7697248639757823,-1.238607133079103,-1.9044650244783576,-1.5693304115087268,1.570786388455262,0.8010689089740876,-44.1019860920937,-70.96696120023131,-109.11780813288891,-89.91600924097875,89.99943057508357,45.897867583364736
-0.7750323568491377,-1.2370424677198377,-1.9054425034543419,-1.5699182748719767,1.5707847031793019,0.7957610975019624,-44.40608303353273,-70.87731247879508,-109.17381355277557,-89.94969133062334,89.99933401588375,45.59375238756085
-0.7803767584806585,-1.2355214026566566,-1.9063937679677694,-1.5704884493664677,1.5707832626835216,0.7904166310506401,-44.712294691041706,-70.79016187031,-109.22831699459553,-89.98235992274368,89.99925148155513,45.287537016150814
-0.7857567740951225,-1.2340457921417893,-1.907318043919727,-1.5710398308267062,1.57078223784158,0.7850368330668072,-45.02054687946497,-70.70561561560298,-109.28127410574815,-90.01395175331712,89.9991927624372,44.9792972970442
-0.7911710122273099,-1.2326167378440471,-1.9082145095363967,-1.5715721759557733,1.5707817253087728,0.7796230741906842,-45.33075987371811,-70.62373683564732,-109.33263780206191,-90.044452882457,89.9991633964705,44.669111762140865
-0.7966181721135435,-1.2312346751602827,-1.9090825247935705,-1.5720857512728743,1.5707817580940673,0.7741766033269529,-45.64285914553225,-70.5445504768451,-109.38237141285093,-90.07387858058898,89.9991652749295,44.357051968408086
-0.8020971317052639,-1.2298995806414847,-1.9099217023495367,-1.5725810297205138,1.5707823255940443,0.7686984792868141,-45.95678040626055,-70.46805519566692,-109.4304527450699,-90.10225594532253,89.99919779028305,44.04317858125898
-0.8076069177232917,-1.2286111586288466,-1.910731875841221,-1.5730585265226178,1.5707833913157818,0.7631896114914573,-46.27246789111374,-70.394234052111,-109.47687226681678,-90.12961449681407,89.99925885164075,43.727543706689495
-0.81314666514548,-1.227368972406048,-1.9115130368755684,-1.5735187291596735,1.5707849050118483,0.7576508068788109,-46.5898720379736,-70.32306202417534,-109.52162949720497,-90.15598216563815,89.99934558003682,43.410193578837266
-0.81314666514548,-1.227368972406048,-1.9115130368755684,-1.5735187291596735,1.5707849050118483,0.7576508068788109,-46.5898720379736,-70.32306202417534,-109.52162949720497,-90.15598216563815,89.99934558003682,43.410193578837266
-0.8722346092296044,-1.1930975546356233,-1.9319149635100215,-1.5873703159922332,1.5707563815610004,0.6986177810668647,-49.975361854098935,-68.35945442800036,-110.69057378729467,-90.94961963070281,89.99771130668609,40.0278503479259
