x,y,z,qx,qy,qz,qw
-0.09249999999999997,-0.23027999999999998,0.04,0.0,0.0,0.0,1.0
-0.09749999999999998,-0.22527999999999998,0.04,0.0,0.0,0.0,1.0
-0.10249999999999998,-0.22027999999999998,0.04,0.0,0.0,0.0,1.0
-0.10749999999999998,-0.21527999999999997,0.04,0.0,0.0,0.0,1.0
-0.11249999999999988,-0.21027999999999997,0.04,0.0,0.0,0.0,1.0
-0.11749999999999988,-0.20527999999999996,0.04,0.0,0.0,0.0,1.0
-0.12249999999999989,-0.20027999999999996,0.04,0.0,0.0,0.0,1.0
-0.1274999999999999,-0.19527999999999995,0.04,0.0,0.0,0.0,1.0
-0.1324999999999999,-0.19027999999999995,0.04,0.0,0.0,0.0,1.0
-0.1374999999999999,-0.18527999999999994,0.04,0.0,0.0,0.0,1.0
-0.1424999999999999,-0.18028000000000005,0.04,0.0,0.0,0.0,1.0
-0.1474999999999999,-0.17528000000000005,0.04,0.0,0.0,0.0,1.0
-0.1524999999999999,-0.17028000000000004,0.04,0.0,0.0,0.0,1.0
-0.15749999999999992,-0.16528000000000004,0.04,0.0,0.0,0.0,1.0
-0.16249999999999992,-0.16028000000000003,0.04,0.0,0.0,0.0,1.0
-0.16749999999999993,-0.15528000000000003,0.04,0.0,0.0,0.0,1.0
-0.17249999999999993,-0.15028000000000002,0.04,0.0,0.0,0.0,1.0
-0.17749999999999994,-0.14528000000000002,0.04,0.0,0.0,0.0,1.0
-0.18249999999999994,-0.14028000000000002,0.04,0.0,0.0,0.0,1.0
-0.18749999999999994,-0.13528,0.04,0.0,0.0,0.0,1.0
-0.19249999999999995,-0.13028,0.04,0.0,0.0,0.0,1.0
-0.19749999999999995,-0.12528,0.04,0.0,0.0,0.0,1.0
-0.20249999999999996,-0.12028,0.04,0.0,0.0,0.0,1.0
-0.20749999999999996,-0.11528,0.04,0.0,0.0,0.0,1.0
-0.21249999999999997,-0.11027999999999999,0.04,0.0,0.0,0.0,1.0
-0.21749999999999997,-0.10527999999999998,0.04,0.0,0.0,0.0,1.0
-0.22249999999999998,-0.10027999999999998,0.04,0.0,0.0,0.0,1.0
-0.22749999999999998,-0.09527999999999998,0.04,0.0,0.0,0.0,1.0
-0.23249999999999998,-0.09027999999999997,0.04,0.0,0.0,0.0,1.0
-0.23749999999999988,-0.08527999999999997,0.04,0.0,0.0,0.0,1.0
-0.24249999999999988,-0.08027999999999996,0.04,0.0,0.0,0.0,1.0
-0.2474999999999999,-0.07527999999999996,0.04,0.0,0.0,0.0,1.0
-0.2524999999999999,-0.07027999999999995,0.04,0.0,0.0,0.0,1.0
-0.2574999999999999,-0.06527999999999995,0.04,0.0,0.0,0.0,1.0
-0.2624999999999999,-0.060279999999999945,0.04,0.0,0.0,0.0,1.0
-0.2674999999999999,-0.05528000000000005,0.04,0.0,0.0,0.0,1.0
-0.2724999999999999,-0.05028000000000005,0.04,0.0,0.0,0.0,1.0
-0.2774999999999999,-0.04528000000000004,0.04,0.0,0.0,0.0,1.0
-0.2824999999999999,-0.04028000000000004,0.04,0.0,0.0,0.0,1.0
-0.2874999999999999,-0.035280000000000034,0.04,0.0,0.0,0.0,1.0
-0.2924999999999999,-0.030280000000000033,0.04,0.0,0.0,0.0,1.0
-0.2924999999999999,-0.025280000000000028,0.04,0.0,0.0,0.0,1.0
-0.29749999999999993,-0.020280000000000024,0.04,0.0,0.0,0.0,1.0
-0.29749999999999993,-0.015280000000000018,0.04,0.0,0.0,0.0,1.0
-0.30249999999999994,-0.010280000000000013,0.04,0.0,0.0,0.0,1.0
-0.30249999999999994,-0.005280000000000009,0.04,0.0,0.0,0.0,1.0
-0.30249999999999994,-0.00028000000000000464,0.04,0.0,0.0,0.0,1.0
-0.30749999999999994,0.00472,0.04,0.0,0.0,0.0,1.0
-0.30749999999999994,0.009720000000000005,0.04,0.0,0.0,0.0,1.0
-0.31249999999999994,0.014720000000000009,0.04,0.0,0.0,0.0,1.0
-0.31749999999999995,0.019720000000000012,0.04,0.0,0.0,0.0,1.0
